amount_requested,days_since_incident,prior_claims_count,doc_confidence_score,consistency_score,has_police_report,has_medical_certificate,has_death_certificate,has_repair_estimate,document_count,policy_number_extracted,amount_vs_policy_limit_ratio,incident_on_weekend,submission_within_7_days,name_mismatch,date_mismatch,decision,claim_type_Multi-vehicle Collision,claim_type_Parked Car,claim_type_Single Vehicle Collision,claim_type_Vehicle Theft
77880.0,5,0,0.8322602954229403,0.9777065956453735,0,1,0,0,1,1,7.3474,0,1,0,0,APPROVE,0,0,1,0
71500.0,51,0,0.927701028803974,0.7896856866629856,1,1,0,0,2,1,4.703,0,0,0,0,REJECT,1,0,0,0
9020.0,32,0,0.7579053968259243,0.9448170603957253,1,1,0,1,3,1,0.5685,0,0,0,1,APPROVE,0,1,0,0
5720.0,53,0,0.8491279871399473,0.9378197594140282,0,1,0,1,2,1,0.5621,0,0,1,0,REJECT,0,0,0,1
69840.0,52,0,0.8718002249699923,0.7276401892973022,1,1,0,0,2,1,4.5057,0,0,0,0,APPROVE,0,0,1,0
91650.0,14,0,0.7134706196887993,0.9315661896602709,0,1,0,0,1,1,6.9149,1,0,0,0,APPROVE,0,0,1,0
75600.0,42,0,0.8761880070514171,0.614803053886197,0,0,0,0,0,1,6.6027,1,0,0,0,ESCALATE,1,0,0,0
67140.0,1,0,0.7494519958693145,0.8385079513928212,0,1,0,0,1,1,4.1839,1,1,0,0,REJECT,1,0,0,0
29790.0,5,0,0.718864961965731,0.6920035349150813,0,1,1,1,3,1,2.281,0,1,0,0,ESCALATE,1,0,0,0
77110.0,51,0,0.9751768058034667,0.6482267543109115,0,1,0,0,1,1,4.1236,0,0,1,0,ESCALATE,1,0,0,0
64800.0,17,0,0.9800332895916222,0.6307812806516836,1,0,0,1,2,1,3.8144,0,0,0,0,ESCALATE,0,0,1,0
53100.0,36,0,0.9344352309537737,0.8785155103512559,1,1,0,1,3,1,3.3167,1,0,0,0,REJECT,0,0,1,0
60200.0,51,0,0.7883379930602774,0.7359499855072265,1,1,0,0,2,1,5.0753,0,0,0,0,REJECT,0,0,1,0
5330.0,42,0,0.7283249130618513,0.8899067086115046,1,1,0,0,2,1,0.3633,1,0,0,1,APPROVE,0,1,0,0
62300.0,39,0,0.8984275776885255,0.626142536319577,0,1,0,0,1,1,4.4928,0,0,0,0,ESCALATE,1,0,0,0
60170.0,52,0,0.8276442231844844,0.7261161351322442,0,0,0,0,0,1,3.9729,0,0,0,0,REJECT,0,0,1,0
40000.0,57,0,0.7353910881049858,0.8157965169501349,0,1,0,0,1,1,2.2963,1,0,0,0,APPROVE,0,0,1,0
97080.0,59,0,0.8436013039322683,0.9162892659355855,0,1,0,0,1,1,4.6557,0,0,0,1,REJECT,0,0,1,0
51660.0,44,0,0.7099726711234133,0.727501001172828,0,1,0,1,2,1,2.9168,0,0,0,0,APPROVE,1,0,0,0
51120.0,19,0,0.9637029166028468,0.8503565505748036,0,1,1,0,2,1,7.9157,0,0,0,0,ESCALATE,0,0,1,0
56400.0,15,0,0.7750461946640048,0.9543910992944749,0,0,0,1,1,1,4.3475,1,0,0,0,APPROVE,0,0,1,0
55120.0,8,0,0.8921314624626547,0.8463452752729218,0,1,1,0,2,1,3.1582,1,0,0,0,ESCALATE,1,0,0,0
77110.0,11,0,0.7903962120659291,0.6931837899014535,0,1,0,1,2,1,5.1802,0,0,0,0,ESCALATE,1,0,0,0
62800.0,50,0,0.8508197261415651,0.6097603126226152,0,1,0,0,1,1,4.1088,1,0,0,0,REJECT,1,0,0,0
7290.0,3,0,0.858545981009551,0.948039549560372,1,1,0,0,2,1,0.5405,0,1,0,0,APPROVE,0,0,0,1
76600.0,59,0,0.7536077921024028,0.6085077643401549,0,0,0,0,0,1,5.1235,0,0,0,0,ESCALATE,0,0,1,0
81800.0,57,0,0.981179542051722,0.9498806690736797,1,0,0,0,1,1,5.1384,1,0,0,0,APPROVE,1,0,0,0
7260.0,43,0,0.9247885187747232,0.8115748536108848,0,1,0,0,1,1,0.5634,1,0,0,0,APPROVE,0,0,0,1
4300.0,7,0,0.9724546930536149,0.9756270794051585,1,1,0,0,2,1,0.2341,1,1,0,0,APPROVE,0,0,0,1
70510.0,33,0,0.9594999316240181,0.9195132943094662,0,1,0,1,2,1,4.8908,0,0,0,0,ESCALATE,1,0,0,0
2640.0,2,0,0.8733909938552147,0.999173644213335,1,0,0,0,1,1,0.1579,0,1,0,0,APPROVE,0,1,0,0
78900.0,54,0,0.9673435281567039,0.7402847261806841,0,1,0,1,2,1,5.1505,0,0,0,1,APPROVE,0,0,1,0
56430.0,1,0,0.7256628255950566,0.9068753155724507,0,1,0,0,1,1,4.3442,1,1,0,0,ESCALATE,1,0,0,0
2400.0,7,0,0.7568350301015521,0.7607723654436969,0,1,0,0,1,1,0.1414,1,1,0,0,APPROVE,0,1,0,0
65790.0,53,0,0.713115913784056,0.7919502481215636,0,0,0,1,1,1,3.7294,0,0,0,0,ESCALATE,0,0,1,0
62920.0,54,0,0.7943457959213467,0.851002185287348,0,1,0,0,1,1,6.0225,0,0,0,1,APPROVE,1,0,0,0
69480.0,50,0,0.8127164140099498,0.9494708456745355,0,1,0,1,2,1,7.2809,1,0,0,0,REJECT,1,0,0,0
44280.0,18,0,0.7786912192144297,0.9936333876797181,0,0,0,0,0,1,3.1587,0,0,0,0,ESCALATE,1,0,0,0
56300.0,48,0,0.9403338776540595,0.9073093655458073,1,0,0,0,1,1,4.7223,0,0,0,0,APPROVE,0,0,1,0
68520.0,23,0,0.8034584647411409,0.7671067128669335,1,1,0,1,3,1,3.0885,0,0,0,0,REJECT,1,0,0,0
59130.0,40,0,0.7814710078093404,0.768542800910828,0,0,0,0,0,1,3.0014,0,0,0,0,REJECT,1,0,0,0
82320.0,7,0,0.857381864115892,0.8950329206355565,0,1,0,1,2,1,5.0335,1,1,0,0,REJECT,1,0,0,0
89700.0,30,0,0.7408680252426811,0.695510858307321,0,0,0,1,1,1,6.032,0,0,0,0,REJECT,0,0,1,0
33930.0,27,0,0.9326371244186715,0.6441896452525578,0,1,0,0,1,1,3.3861,0,0,0,1,APPROVE,1,0,0,0
68530.0,50,0,0.7216196866671335,0.7418488630563106,0,0,0,0,0,1,5.3808,1,0,0,0,ESCALATE,0,0,1,0
4300.0,2,0,0.98619721161415,0.7148955966616327,0,0,0,0,0,1,0.2801,0,1,0,0,APPROVE,0,1,0,0
68310.0,9,0,0.9239509830960306,0.718523248182396,0,1,0,0,1,1,5.1493,0,0,0,0,REJECT,1,0,0,0
61290.0,21,0,0.7576275476449099,0.6934431004199639,0,0,0,0,0,1,4.8388,1,0,0,0,REJECT,0,0,1,0
30100.0,18,0,0.7016014139658446,0.6168372758545447,0,1,0,0,1,1,2.8,0,0,0,0,APPROVE,0,0,1,0
57120.0,6,0,0.9364838142519019,0.6071495738933655,1,1,0,0,2,1,2.915,0,1,0,0,APPROVE,1,0,0,0
42930.0,0,0,0.904988629715809,0.9950889558944126,1,1,0,1,3,1,2.5445,1,1,0,0,APPROVE,1,0,0,0
51210.0,45,0,0.9114120787318862,0.7711092534943449,0,1,1,0,2,1,2.9936,0,0,0,0,ESCALATE,1,0,0,0
89400.0,46,0,0.9236684005389242,0.7537306588638727,1,1,0,0,2,1,7.1766,0,0,0,1,APPROVE,1,0,0,0
59730.0,12,0,0.7214729490028862,0.8718589130772278,0,0,0,0,0,1,3.808,0,0,0,0,ESCALATE,1,0,0,0
8060.0,36,0,0.803955061277839,0.6873015551460256,1,1,0,1,3,1,0.451,1,0,1,0,APPROVE,0,0,0,1
72200.0,39,0,0.7336020272622876,0.9799844735800901,0,1,0,0,1,1,6.1604,0,0,0,1,REJECT,0,0,1,0
50800.0,10,0,0.950299993503922,0.9145380057662208,0,1,0,0,1,1,3.1582,0,0,0,0,APPROVE,1,0,0,0
6600.0,57,0,0.8807564567799918,0.6357644009249038,0,1,0,0,1,1,0.4338,1,0,0,0,APPROVE,0,0,0,1
7500.0,31,0,0.7959604272072682,0.7670323103139713,0,1,0,1,2,1,0.5064,0,0,0,0,APPROVE,0,0,0,1
6490.0,41,0,0.7184319215829468,0.9516473230248659,1,0,0,0,1,1,0.4103,0,0,0,0,APPROVE,0,0,0,1
60940.0,41,0,0.7901848732975421,0.9778928089165642,0,1,0,0,1,1,6.5957,0,0,0,0,REJECT,1,0,0,0
58300.0,27,0,0.7943031633877566,0.7869606044999479,0,0,0,1,1,1,3.2074,0,0,0,0,ESCALATE,1,0,0,0
68400.0,30,0,0.9115857917180386,0.845364555684283,0,1,0,0,1,1,6.5244,0,0,0,0,APPROVE,1,0,0,0
64240.0,52,0,0.8848916666930118,0.6668135784368301,1,1,1,0,3,1,3.32,0,0,0,0,ESCALATE,0,0,1,0
4700.0,30,0,0.9572916953471347,0.9964674504547906,1,0,0,0,1,1,0.2971,0,0,0,0,APPROVE,0,1,0,0
45120.0,53,0,0.8369423282969652,0.6926686805533774,0,1,0,1,2,1,3.0648,0,0,0,0,REJECT,1,0,0,0
66950.0,5,0,0.7346823313221075,0.9770927096540503,0,1,0,1,2,1,4.2061,0,1,0,0,ESCALATE,1,0,0,0
98340.0,27,0,0.9068409882946685,0.8598586595969473,0,0,0,0,0,1,7.2086,0,0,1,1,REJECT,0,0,1,0
5900.0,1,0,0.9206276640989002,0.8430947179515437,0,0,0,0,0,1,0.3717,1,1,0,0,APPROVE,0,1,0,0
70680.0,20,0,0.8627703872951539,0.8050754044066034,0,1,0,0,1,1,3.971,0,0,0,0,ESCALATE,1,0,0,0
93720.0,41,0,0.9235804821868226,0.6922679246871035,0,1,0,0,1,1,5.1541,0,0,0,0,ESCALATE,1,0,0,0
6930.0,8,0,0.8432007229456733,0.6706112128022033,1,1,0,0,2,1,0.5371,1,0,0,0,APPROVE,0,0,0,1
72930.0,46,0,0.8515925205207783,0.6881944836280701,0,0,0,1,1,1,3.5956,0,0,0,1,REJECT,0,0,1,0
64890.0,38,0,0.8239868953239794,0.6745753048577018,1,1,0,1,3,1,3.9972,0,0,0,0,REJECT,1,0,0,0
5400.0,7,0,0.7073715467557875,0.9118337894267013,1,1,0,0,2,1,0.3917,1,1,0,0,APPROVE,0,1,0,0
5600.0,34,0,0.7312885138280583,0.740050103666692,0,0,0,0,0,1,0.4813,0,0,0,0,APPROVE,0,0,0,1
79300.0,36,0,0.7091144638491529,0.6231370706253585,0,0,0,1,1,1,4.5144,1,0,0,0,APPROVE,0,0,1,0
52800.0,10,0,0.8845590192664963,0.9876410520563246,1,1,0,1,3,1,2.9847,0,0,0,0,ESCALATE,0,0,1,0
28800.0,31,0,0.7911632345121347,0.9535143539853703,0,1,0,0,1,1,1.6028,0,0,0,0,APPROVE,1,0,0,0
2970.0,14,0,0.8474855004377637,0.9711009132780852,0,1,0,0,1,1,0.1734,1,0,0,0,APPROVE,0,1,0,0
93480.0,17,0,0.9631942774385669,0.9979631290585741,0,0,0,0,0,1,5.2104,0,0,0,0,ESCALATE,1,0,0,0
4320.0,59,0,0.7722947464531738,0.6695580996877949,1,1,0,1,3,1,0.3153,0,0,0,0,APPROVE,0,0,0,1
79800.0,47,0,0.8190110476803326,0.7584968075610635,1,0,0,0,1,1,5.9092,0,0,0,0,REJECT,1,0,0,0
74200.0,0,0,0.919109830177484,0.9032953902816365,0,1,0,0,1,1,5.1214,1,1,0,0,ESCALATE,1,0,0,0
70590.0,27,0,0.7663514679925705,0.8784082472215169,0,0,0,0,0,1,4.3948,0,0,0,0,REJECT,0,0,1,0
60940.0,33,0,0.72232417385035,0.661558362535942,1,0,0,0,1,1,4.7281,0,0,1,0,REJECT,1,0,0,0
74700.0,48,0,0.7840279213449927,0.9263332499962471,1,1,0,0,2,1,4.654,0,0,0,0,APPROVE,0,0,1,0
70000.0,54,0,0.7467541733036612,0.6897762287346643,0,0,0,1,1,1,4.4909,0,0,0,0,REJECT,0,0,1,0
81070.0,30,0,0.9696123191793462,0.6895270459290492,0,1,1,0,2,1,5.5251,0,0,0,0,ESCALATE,1,0,0,0
57720.0,0,0,0.9343549100736809,0.8147897691573655,0,1,0,0,1,1,4.5398,1,1,0,0,ESCALATE,1,0,0,0
7080.0,5,0,0.8836870893880228,0.8371759739366813,1,1,0,1,3,1,0.5247,0,1,0,0,APPROVE,0,0,0,1
47700.0,36,0,0.9527235711544382,0.8320344831351245,0,0,0,0,0,1,3.5799,1,0,0,0,REJECT,1,0,0,0
51260.0,3,0,0.9330649023007431,0.6365947349591019,0,0,0,0,0,1,3.1084,0,1,0,0,APPROVE,0,0,1,0
70400.0,41,0,0.7541053170769504,0.9509843450521521,0,1,0,0,1,1,5.316,0,0,0,0,REJECT,1,0,0,0
90000.0,43,0,0.9588421095620936,0.7062400170354824,1,1,0,0,2,1,5.9066,1,0,0,0,APPROVE,0,0,1,0
72820.0,9,0,0.8564092501555387,0.6518059685131217,0,0,0,0,0,1,6.2898,0,0,0,0,APPROVE,1,0,0,0
69300.0,7,0,0.9341576449975781,0.9554992319475909,0,1,0,0,1,1,4.9473,1,1,0,0,APPROVE,0,0,1,0
76560.0,37,0,0.959866476977813,0.9822605992919013,0,1,0,0,1,1,3.9251,0,0,0,0,REJECT,0,0,1,0
55440.0,29,0,0.7922210077418405,0.9448510469061803,1,0,0,0,1,1,3.3132,1,0,1,0,REJECT,0,0,1,0
77130.0,55,0,0.7319150581130263,0.9238064298899512,0,1,0,1,2,1,6.1026,0,0,0,0,ESCALATE,1,0,0,0
42000.0,26,0,0.7661011971371631,0.8620967922556086,0,1,0,1,2,1,3.363,0,0,1,0,ESCALATE,0,0,1,0
36300.0,12,0,0.8238612587016143,0.8203429482436557,1,1,1,0,3,1,2.3226,0,0,0,0,ESCALATE,1,0,0,0
40320.0,51,0,0.937224282117523,0.634794703964564,0,0,0,0,0,1,2.1151,0,0,0,0,ESCALATE,0,0,1,0
3960.0,21,0,0.9496118691443396,0.7633812852282795,0,1,0,0,1,1,0.2358,1,0,0,0,APPROVE,0,1,0,0
63840.0,23,0,0.7020161178540453,0.7490754068049256,1,0,0,1,2,1,3.934,0,0,0,1,REJECT,0,0,1,0
44730.0,46,0,0.848116717747494,0.7039015135041304,0,1,0,0,1,1,3.2726,0,0,0,0,REJECT,1,0,0,0
84720.0,38,0,0.8210491909131459,0.889368045475434,0,1,0,1,2,1,5.0513,0,0,0,0,APPROVE,1,0,0,0
61500.0,6,0,0.7644112650365117,0.7983502940315084,0,1,0,0,1,1,6.2259,0,1,0,0,ESCALATE,1,0,0,0
51000.0,7,0,0.734760956526768,0.6324184863630592,0,0,0,0,0,1,4.4036,1,1,0,1,ESCALATE,1,0,0,0
46800.0,36,0,0.7979083997070521,0.6880732807799246,0,1,1,0,2,1,2.0282,1,0,0,0,ESCALATE,0,0,1,0
78120.0,20,0,0.9734438141346305,0.8733035054638383,0,1,0,0,1,1,4.0066,0,0,0,0,APPROVE,0,0,1,0
69200.0,41,0,0.793728850286019,0.63045234379612,0,1,0,0,1,1,4.5149,0,0,0,0,REJECT,0,0,1,0
3690.0,59,0,0.8504492803055761,0.9404827656195075,0,0,0,0,0,1,0.2136,0,0,0,0,APPROVE,0,0,0,1
65500.0,53,0,0.9038754980796015,0.7980586108055897,0,0,0,0,0,1,4.2601,0,0,0,0,APPROVE,1,0,0,0
76120.0,28,0,0.8054525846899953,0.7922346309306592,1,1,0,0,2,1,4.7028,1,0,0,0,APPROVE,1,0,0,0
73560.0,8,0,0.9818168039890787,0.8369631138638071,1,0,0,0,1,1,5.1162,1,0,0,0,ESCALATE,1,0,0,0
52030.0,39,0,0.9791097155332122,0.9298723863700596,0,0,0,1,1,1,3.5504,0,0,0,0,ESCALATE,0,0,1,0
5170.0,41,0,0.7730168657893556,0.7391236831608772,0,1,0,0,1,1,0.4447,0,0,0,1,APPROVE,0,0,0,1
8190.0,2,0,0.8442020667087917,0.8712064610236254,1,1,0,0,2,1,0.5591,0,1,0,0,APPROVE,0,1,0,0
70800.0,15,0,0.7872547098468632,0.8262927855983164,0,1,0,0,1,1,4.7634,1,0,0,0,REJECT,0,0,1,0
45630.0,28,0,0.7826037433694656,0.7068113080677685,1,0,0,0,1,1,2.879,1,0,0,0,ESCALATE,1,0,0,0
99320.0,27,0,0.7106972147328144,0.9514519945420632,0,1,0,1,2,1,8.352,0,0,0,0,REJECT,0,0,1,0
64000.0,28,0,0.8767736568541701,0.9189704086427712,0,1,0,0,1,1,3.8136,1,0,0,0,REJECT,1,0,0,0
47300.0,41,0,0.8457769167363698,0.8633807338633701,0,1,0,0,1,1,2.9088,0,0,0,0,APPROVE,0,0,1,0
71680.0,11,0,0.7149288378624968,0.9402326916376967,0,1,0,0,1,1,4.3144,0,0,0,0,REJECT,0,0,1,0
112320.0,21,0,0.7808074746286173,0.946917680383921,1,1,0,0,2,1,11.0504,1,0,0,0,REJECT,0,0,1,0
82720.0,51,0,0.9633971069303295,0.8833451906860139,0,1,0,0,1,1,6.8929,0,0,0,0,ESCALATE,0,0,1,0
48060.0,2,0,0.7694729482934219,0.9348053313454688,0,1,0,0,1,1,3.8263,0,1,0,0,ESCALATE,1,0,0,0
63570.0,52,0,0.7420195129064546,0.8789885846677135,1,1,0,1,3,1,4.5746,0,0,0,0,REJECT,1,0,0,0
63240.0,52,0,0.8419413004804932,0.8720563087041202,0,1,1,0,2,1,3.8404,0,0,0,0,ESCALATE,1,0,0,0
54240.0,5,0,0.9858386316920742,0.8474445512860738,0,1,0,0,1,1,4.2923,0,1,0,0,REJECT,1,0,0,0
37280.0,17,0,0.770196028738335,0.9010866558230565,0,1,0,1,2,1,2.4359,0,0,0,0,REJECT,0,0,1,0
72100.0,11,0,0.8949193087477048,0.6634420421172295,1,1,0,0,2,1,4.2833,0,0,0,1,APPROVE,1,0,0,0
6500.0,23,0,0.920869688445328,0.9523483036795714,0,1,0,0,1,1,0.4029,0,0,0,0,APPROVE,0,1,0,0
78240.0,15,0,0.7689148877577958,0.9487374110980928,0,1,1,0,2,1,5.4437,1,0,0,0,ESCALATE,1,0,0,0
6200.0,24,0,0.9111827410974392,0.6116989132138236,0,1,0,0,1,1,0.4294,0,0,0,0,APPROVE,0,0,0,1
6160.0,35,0,0.8066571084885834,0.930326700225905,0,1,0,1,2,1,0.4454,1,0,0,0,APPROVE,0,1,0,0
76050.0,44,0,0.883368690872138,0.651547946989378,0,1,1,0,2,1,5.5465,0,0,0,0,ESCALATE,0,0,1,0
86060.0,32,0,0.8837236161206594,0.7340475417036567,1,1,1,0,3,1,5.3839,0,0,0,0,ESCALATE,1,0,0,0
107900.0,39,0,0.8553746583816799,0.897403302516643,0,1,0,1,2,1,7.708,0,0,0,0,REJECT,0,0,1,0
99990.0,53,0,0.7261840333157784,0.6643039584193232,1,1,1,0,3,1,5.5734,0,0,0,0,ESCALATE,1,0,0,0
61380.0,6,0,0.942237723720879,0.9271868096476249,1,1,0,0,2,1,3.8231,0,1,1,0,APPROVE,1,0,0,0
71280.0,15,0,0.7930262188418034,0.9328536711830968,1,1,0,0,2,1,3.7406,1,0,0,1,REJECT,0,0,1,0
64000.0,2,0,0.7540903680159576,0.8029870935043345,0,0,0,0,0,1,3.915,0,1,0,0,APPROVE,1,0,0,0
5940.0,8,0,0.7118247910508815,0.6025543486867334,0,0,0,0,0,1,0.3417,1,0,0,0,APPROVE,0,1,0,0
6700.0,55,0,0.8713589535245901,0.7148152532699651,0,1,0,0,1,1,0.4496,0,0,0,0,APPROVE,0,1,0,0
51740.0,30,0,0.8964936649342619,0.8467707673502969,0,0,0,1,1,1,3.834,0,0,0,0,APPROVE,1,0,0,0
53600.0,3,0,0.7048104703890783,0.9924744712109694,1,0,0,0,1,1,4.1361,0,1,0,0,REJECT,0,0,1,0
44910.0,50,0,0.8485069869067915,0.8527254108066673,0,1,0,1,2,1,2.585,1,0,0,0,ESCALATE,1,0,0,0
48100.0,6,0,0.765683774807402,0.703921432425664,1,0,0,0,1,1,3.261,0,1,0,0,ESCALATE,1,0,0,0
6100.0,24,0,0.8871001092187405,0.8536022812398445,0,0,0,0,0,1,0.4145,0,0,0,0,APPROVE,0,0,0,1
79600.0,39,0,0.7505662644114475,0.8159941518863422,1,1,0,0,2,1,7.3877,0,0,0,0,APPROVE,0,0,1,0
77040.0,53,0,0.9003719440497151,0.9119381580604574,1,1,0,0,2,1,3.7614,0,0,0,0,APPROVE,0,0,1,0
62590.0,49,0,0.8121532504271558,0.6427922555307833,0,0,0,1,1,1,4.1588,1,0,0,0,APPROVE,0,0,1,0
85150.0,23,0,0.971651696733653,0.9044111610008112,0,0,0,1,1,1,8.0172,0,0,0,0,ESCALATE,0,0,1,0
4950.0,36,0,0.739881073802338,0.8165066314704441,0,1,0,0,1,1,0.3941,1,0,0,0,APPROVE,0,0,0,1
51100.0,11,0,0.7989092418045749,0.9851968015435979,1,1,0,0,2,1,2.4864,0,0,0,0,ESCALATE,1,0,0,0
100800.0,48,0,0.7329073211597708,0.7367488664154744,0,1,0,1,2,1,7.6523,0,0,0,0,APPROVE,0,0,1,0
90970.0,43,0,0.9681611493007831,0.8530487572535792,0,1,1,1,3,1,5.5587,1,0,0,0,ESCALATE,0,0,1,0
81840.0,48,0,0.9544284124804845,0.9728112422040069,1,1,0,0,2,1,4.9317,0,0,0,0,REJECT,0,0,1,0
54900.0,54,0,0.7748030720373951,0.6410038911962717,0,0,0,0,0,1,4.0084,0,0,0,0,ESCALATE,0,0,1,0
88660.0,4,0,0.8913953733499119,0.9748913948945804,0,1,1,1,3,1,7.0043,0,1,0,0,REJECT,0,0,1,0
18000.0,13,0,0.9369944380583526,0.8751542889203253,0,1,0,0,1,1,1.4181,0,0,0,0,ESCALATE,1,0,0,0
5500.0,4,0,0.8610082353638441,0.6271348236420687,1,1,0,1,3,1,0.308,0,1,0,0,APPROVE,0,0,0,1
73920.0,8,0,0.8535986677232419,0.7203854267787265,0,1,0,0,1,1,6.6935,1,0,0,0,REJECT,1,0,0,0
101860.0,13,0,0.770137164361131,0.8832688354581126,1,0,0,0,1,1,8.6042,0,0,0,0,ESCALATE,0,0,1,0
5390.0,20,0,0.7269998026637108,0.6269402405875086,1,0,0,1,2,1,0.3118,0,0,0,0,APPROVE,0,1,0,0
50490.0,16,0,0.9601925698064647,0.8328681840705093,0,1,0,0,1,1,3.8736,0,0,0,0,APPROVE,0,0,1,0
55500.0,49,0,0.9611212365773658,0.7383532227811826,0,0,0,0,0,1,3.3816,1,0,0,1,ESCALATE,0,0,1,0
7040.0,58,0,0.8835994226092476,0.8483662071069908,1,1,0,1,3,1,0.4825,0,0,0,0,APPROVE,0,0,0,1
40160.0,17,0,0.7983186394041232,0.6182968135250051,1,0,0,0,1,1,2.8095,0,0,0,0,ESCALATE,1,0,0,0
55680.0,24,0,0.8012707766376717,0.9486147224609505,0,1,1,1,3,1,2.9101,0,0,0,0,ESCALATE,1,0,0,0
5300.0,36,0,0.9105271468723695,0.9893955876709588,0,1,0,0,1,1,0.3019,1,0,0,1,REJECT,0,0,0,1
5200.0,48,0,0.9601619753862474,0.9875511421142766,0,0,0,1,1,1,0.2499,0,0,0,0,APPROVE,0,1,0,0
59400.0,44,0,0.957255063036884,0.8998607326971699,0,1,0,1,2,1,3.5071,0,0,0,0,ESCALATE,0,0,1,0
2520.0,47,0,0.9261639082987109,0.6520344960522527,0,1,0,0,1,1,0.1388,0,0,0,0,APPROVE,0,0,0,1
5760.0,27,0,0.8861891773847435,0.903305278371609,1,1,0,0,2,1,0.4162,0,0,1,0,APPROVE,0,0,0,1
76700.0,1,0,0.7244005898485641,0.6098347665835205,1,1,0,0,2,1,3.7097,1,1,0,0,APPROVE,0,0,1,0
5920.0,42,0,0.746872327087438,0.6088494206115989,0,0,0,0,0,1,0.3851,1,0,0,0,APPROVE,0,1,0,0
64350.0,14,0,0.9605807146728529,0.7294440876598165,0,0,0,1,1,1,5.2993,1,0,0,0,ESCALATE,1,0,0,0
19080.0,29,0,0.875864427301281,0.7954572761618663,0,1,0,0,1,1,1.5255,1,0,0,0,ESCALATE,1,0,0,0
54400.0,19,0,0.7026671449688225,0.9081629671231173,0,1,0,0,1,1,3.6704,0,0,0,0,APPROVE,0,0,1,0
59800.0,3,0,0.7294267474311493,0.873318150642602,0,1,0,0,1,1,6.481,0,1,0,0,REJECT,0,0,1,0
