claim_type,amount_requested,doc_confidence_score,consistency_score,days_since_incident,has_police_report,has_medical_cert,prior_claims_count,label
PROPERTY,419908.93,0.74,0.664,22,0,0,3,ESCALATE
PROPERTY,113849.46,0.926,0.942,4,1,0,0,APPROVE
AUTO,36075.83,0.784,0.8,5,1,0,0,APPROVE
PROPERTY,424398.08,0.78,0.733,14,1,0,3,ESCALATE
AUTO,21571.13,0.753,0.982,5,1,0,0,APPROVE
PROPERTY,36316.55,0.912,0.803,25,1,0,0,APPROVE
AUTO,12810.01,0.75,0.984,9,1,0,0,APPROVE
PROPERTY,36858.74,0.909,0.834,3,1,0,0,APPROVE
LIFE_DEATH,197729.02,0.935,0.984,5,0,1,0,APPROVE
LIFE_DEATH,116525.34,0.919,0.973,42,1,1,0,APPROVE
AUTO,24844.41,0.795,0.8,8,0,0,2,APPROVE
AUTO,108283.36,0.64,0.698,12,1,0,2,ESCALATE
LIFE_DEATH,632134.01,0.708,0.643,10,1,1,2,ESCALATE
AUTO,10462.29,0.902,0.912,3,0,0,0,APPROVE
LIFE_DEATH,124417.99,0.75,0.876,4,1,1,1,APPROVE
PROPERTY,26610.62,0.75,0.807,7,0,0,0,APPROVE
AUTO,13908.65,0.981,0.8,1,1,0,2,APPROVE
AUTO,96200.9,0.712,0.662,14,1,0,1,ESCALATE
PROPERTY,52003.74,0.99,0.8,5,1,0,0,APPROVE
AUTO,27451.78,0.981,0.992,1,0,0,0,APPROVE
PROPERTY,1057063.66,0.5,0.372,96,0,0,5,REJECT
AUTO,8650.14,0.931,0.943,23,0,0,0,APPROVE
AUTO,295653.54,0.456,0.232,37,0,0,4,REJECT
AUTO,11438.33,0.75,0.962,1,1,0,0,APPROVE
AUTO,21475.69,0.809,0.8,6,1,0,0,APPROVE
PROPERTY,263793.44,0.473,0.176,91,0,0,6,REJECT
PROPERTY,806083.31,0.2,0.5,119,0,0,2,REJECT
LIFE_DEATH,128456.7,0.91,0.854,4,0,1,1,APPROVE
PROPERTY,910509.23,0.345,0.175,36,0,0,4,REJECT
AUTO,222795.24,0.465,0.272,40,0,0,3,REJECT
AUTO,374870.32,0.295,0.15,112,0,0,3,REJECT
AUTO,38003.65,0.836,0.973,10,1,0,0,APPROVE
LIFE_DEATH,295298.13,0.861,0.994,9,1,1,0,APPROVE
LIFE_DEATH,141261.42,0.937,0.984,17,1,1,0,APPROVE
LIFE_DEATH,185589.74,0.939,0.857,5,0,1,2,APPROVE
AUTO,26732.75,0.967,0.922,7,1,0,1,APPROVE
PROPERTY,39634.21,0.78,0.873,6,1,0,0,APPROVE
AUTO,330582.62,0.2,0.424,50,0,0,2,REJECT
PROPERTY,25192.12,0.839,0.954,15,1,0,0,APPROVE
PROPERTY,54394.52,0.964,0.815,8,1,0,0,APPROVE
PROPERTY,834777.58,0.239,0.418,77,0,0,5,REJECT
LIFE_DEATH,522002.6,0.764,0.64,66,1,1,1,ESCALATE
LIFE_DEATH,464148.64,0.813,0.791,26,0,1,3,ESCALATE
PROPERTY,250602.16,0.68,0.211,91,0,0,5,REJECT
PROPERTY,31887.52,0.969,0.8,8,0,0,0,APPROVE
AUTO,16440.89,0.781,0.8,10,0,0,0,APPROVE
PROPERTY,56485.48,0.75,0.985,1,1,0,0,APPROVE
AUTO,14447.89,0.899,0.901,30,0,0,1,APPROVE
AUTO,23373.24,0.975,0.8,6,1,0,0,APPROVE
PROPERTY,54484.57,0.929,0.953,1,1,0,0,APPROVE
AUTO,27725.35,0.793,0.863,7,0,0,1,APPROVE
AUTO,131209.08,0.678,0.715,14,0,0,2,ESCALATE
AUTO,28969.76,0.873,0.987,4,0,0,0,APPROVE
AUTO,263621.19,0.2,0.38,200,0,0,3,REJECT
LIFE_DEATH,145591.15,0.75,0.894,5,0,1,0,APPROVE
AUTO,7602.04,0.901,0.978,1,1,0,0,APPROVE
PROPERTY,1136817.97,0.223,0.15,96,0,0,2,REJECT
PROPERTY,673414.74,0.239,0.313,44,0,0,3,REJECT
PROPERTY,794343.85,0.2,0.389,118,0,0,3,REJECT
LIFE_DEATH,1197653.34,0.586,0.15,83,0,1,2,REJECT
LIFE_DEATH,69734.85,0.963,0.916,1,0,1,0,APPROVE
LIFE_DEATH,86825.76,0.884,0.996,11,1,1,0,APPROVE
PROPERTY,74477.69,0.88,0.977,4,1,0,0,APPROVE
PROPERTY,213791.42,0.371,0.222,171,0,0,4,REJECT
PROPERTY,363985.75,0.698,0.694,54,0,0,2,ESCALATE
PROPERTY,52906.43,0.75,0.912,6,1,0,1,APPROVE
AUTO,7244.2,0.909,0.859,17,1,0,1,APPROVE
AUTO,127398.76,0.762,0.747,13,1,0,1,ESCALATE
AUTO,449050.95,0.2,0.225,74,0,0,2,REJECT
AUTO,33423.96,0.858,0.925,13,1,0,1,APPROVE
AUTO,20512.36,0.968,0.865,14,1,0,0,APPROVE
PROPERTY,991414.5,0.61,0.381,80,0,0,3,REJECT
AUTO,119161.88,0.628,0.82,10,0,0,1,ESCALATE
AUTO,312236.18,0.379,0.175,79,0,0,5,REJECT
AUTO,14543.93,0.911,0.926,19,0,0,0,APPROVE
AUTO,25982.76,0.75,0.889,22,0,0,0,APPROVE
LIFE_DEATH,276931.34,0.755,0.88,1,0,1,0,APPROVE
PROPERTY,44299.98,0.974,0.935,2,1,0,0,APPROVE
AUTO,21484.18,0.884,0.935,1,1,0,0,APPROVE
AUTO,10840.93,0.783,0.843,8,1,0,0,APPROVE
PROPERTY,672646.89,0.248,0.579,128,0,0,3,REJECT
LIFE_DEATH,192242.51,0.75,0.959,15,1,1,0,APPROVE
AUTO,72816.95,0.772,0.931,39,1,0,0,APPROVE
LIFE_DEATH,179288.99,0.785,0.8,10,1,1,0,APPROVE
LIFE_DEATH,247268.5,0.882,0.898,1,1,1,0,APPROVE
AUTO,24329.95,0.75,0.8,9,0,0,2,APPROVE
PROPERTY,120290.21,0.761,0.947,3,1,0,1,APPROVE
LIFE_DEATH,118675.95,0.75,0.858,1,0,1,1,APPROVE
AUTO,23791.22,0.859,0.988,6,0,0,0,APPROVE
PROPERTY,197481.98,0.728,0.709,18,1,0,2,ESCALATE
PROPERTY,47396.45,0.845,0.92,7,1,0,0,APPROVE
AUTO,22538.88,0.921,0.889,21,0,0,0,APPROVE
LIFE_DEATH,125820.26,0.863,0.8,7,1,1,0,APPROVE
LIFE_DEATH,147931.94,0.75,0.932,1,0,1,0,APPROVE
AUTO,17470.05,0.75,0.8,1,1,0,0,APPROVE
AUTO,113299.33,0.346,0.15,65,0,0,2,REJECT
LIFE_DEATH,1109836.52,0.354,0.448,70,0,0,4,REJECT
PROPERTY,818257.11,0.2,0.15,64,0,0,6,REJECT
AUTO,16209.44,0.935,0.875,1,0,0,0,APPROVE
PROPERTY,675236.02,0.2,0.467,181,0,0,5,REJECT
AUTO,17317.78,0.775,0.874,9,1,0,1,APPROVE
AUTO,175540.12,0.246,0.318,79,0,0,3,REJECT
PROPERTY,46492.61,0.785,0.8,3,0,0,0,APPROVE
LIFE_DEATH,165984.07,0.895,0.919,4,0,1,0,APPROVE
PROPERTY,101252.12,0.909,0.993,22,1,0,0,APPROVE
LIFE_DEATH,284881.73,0.672,0.716,32,0,1,2,ESCALATE
AUTO,12527.64,0.956,0.967,1,1,0,0,APPROVE
AUTO,130064.05,0.627,0.766,120,0,0,1,ESCALATE
PROPERTY,574021.18,0.316,0.459,95,0,0,6,REJECT
PROPERTY,551411.87,0.614,0.15,116,0,0,2,REJECT
PROPERTY,266724.83,0.433,0.15,86,0,0,4,REJECT
PROPERTY,50702.29,0.924,0.974,12,1,0,0,APPROVE
AUTO,46356.35,0.873,0.899,1,1,0,0,APPROVE
PROPERTY,22554.01,0.916,0.858,1,1,0,0,APPROVE
AUTO,4187.44,0.75,0.919,5,0,0,0,APPROVE
LIFE_DEATH,245236.2,0.772,0.933,4,0,1,0,APPROVE
PROPERTY,76189.55,0.96,0.8,2,1,0,0,APPROVE
AUTO,39649.53,0.904,0.824,2,1,0,0,APPROVE
AUTO,72306.84,0.2,0.194,237,0,0,4,REJECT
AUTO,20902.45,0.99,0.985,20,0,0,0,APPROVE
LIFE_DEATH,508142.61,0.434,0.187,38,0,1,2,REJECT
AUTO,9701.94,0.873,0.977,45,1,0,0,APPROVE
PROPERTY,60401.29,0.907,1.0,12,1,0,0,APPROVE
PROPERTY,23446.85,0.988,0.983,6,1,0,0,APPROVE
AUTO,11609.68,0.942,0.8,17,0,0,2,APPROVE
AUTO,23192.93,0.83,0.8,5,0,0,1,APPROVE
AUTO,126471.91,0.759,0.782,21,1,0,2,ESCALATE
AUTO,14979.61,0.801,0.833,31,0,0,2,APPROVE
AUTO,44580.92,0.839,0.889,34,1,0,0,APPROVE
AUTO,34405.25,0.945,0.923,5,1,0,2,APPROVE
AUTO,147147.05,0.713,0.82,15,1,0,2,ESCALATE
PROPERTY,50860.65,0.904,0.8,17,1,0,0,APPROVE
AUTO,45819.44,0.922,0.959,1,1,0,0,APPROVE
AUTO,5760.23,0.75,0.87,24,0,0,0,APPROVE
PROPERTY,48596.25,0.75,0.8,9,1,0,1,APPROVE
AUTO,8978.88,0.871,0.975,1,1,0,0,APPROVE
PROPERTY,46643.85,0.775,0.964,5,0,0,0,APPROVE
PROPERTY,34745.14,0.75,0.821,6,1,0,0,APPROVE
AUTO,23484.26,0.878,0.802,21,1,0,0,APPROVE
AUTO,28719.46,0.833,0.953,1,1,0,0,APPROVE
PROPERTY,69611.92,0.911,0.903,12,1,0,0,APPROVE
LIFE_DEATH,112792.32,0.75,0.8,1,0,1,2,APPROVE
PROPERTY,233476.0,0.65,0.745,10,0,0,1,ESCALATE
AUTO,35355.7,0.933,0.913,7,1,0,0,APPROVE
PROPERTY,35150.48,0.75,0.857,1,1,0,2,APPROVE
AUTO,114613.54,0.2,0.438,124,0,0,2,REJECT
AUTO,13084.45,0.955,0.909,3,0,0,1,APPROVE
AUTO,28871.22,0.897,0.816,29,0,0,0,APPROVE
LIFE_DEATH,269485.39,0.75,0.997,1,0,1,0,APPROVE
PROPERTY,62993.86,0.924,0.974,1,1,0,1,APPROVE
PROPERTY,536009.38,0.7,0.79,13,1,0,2,ESCALATE
PROPERTY,19145.48,0.898,0.985,1,1,0,0,APPROVE
PROPERTY,358030.59,0.672,0.778,40,1,0,1,ESCALATE
AUTO,153973.05,0.2,0.15,41,0,0,3,REJECT
PROPERTY,463865.12,0.342,0.333,76,0,0,4,REJECT
AUTO,18041.25,0.932,0.82,9,1,0,0,APPROVE
AUTO,345850.53,0.313,0.15,38,0,0,2,REJECT
PROPERTY,345832.02,0.625,0.326,32,0,0,2,REJECT
LIFE_DEATH,1162828.96,0.2,0.353,90,0,0,6,REJECT
AUTO,15785.56,0.91,0.943,27,0,0,0,APPROVE
AUTO,375895.65,0.252,0.419,65,0,0,2,REJECT
AUTO,114616.72,0.628,0.619,63,1,0,2,ESCALATE
AUTO,307440.07,0.2,0.304,232,0,0,2,REJECT
LIFE_DEATH,397512.58,0.645,0.736,47,0,1,1,ESCALATE
PROPERTY,359655.32,0.719,0.685,32,0,0,1,ESCALATE
PROPERTY,828712.7,0.589,0.477,154,0,0,3,REJECT
LIFE_DEATH,781303.66,0.2,0.388,32,0,0,2,REJECT
AUTO,22733.32,0.942,0.887,11,1,0,2,APPROVE
PROPERTY,278365.69,0.434,0.402,244,0,0,2,REJECT
PROPERTY,429365.3,0.2,0.291,112,0,0,2,REJECT
PROPERTY,1001350.39,0.411,0.15,114,0,0,2,REJECT
PROPERTY,1031899.15,0.412,0.15,68,0,0,4,REJECT
PROPERTY,713200.35,0.311,0.65,86,0,0,2,REJECT
AUTO,61435.06,0.809,0.952,2,1,0,0,APPROVE
AUTO,19288.85,0.75,0.97,5,0,0,0,APPROVE
AUTO,12910.03,0.95,0.844,3,0,0,2,APPROVE
AUTO,19800.91,0.978,0.8,18,1,0,0,APPROVE
PROPERTY,77515.84,0.958,0.8,20,1,0,0,APPROVE
LIFE_DEATH,251961.54,0.613,0.688,23,1,1,3,ESCALATE
AUTO,77953.26,0.785,0.755,31,0,0,1,ESCALATE
PROPERTY,43144.09,0.98,0.8,6,1,0,0,APPROVE
PROPERTY,514204.96,0.219,0.464,68,0,0,3,REJECT
PROPERTY,64184.52,0.907,0.927,27,1,0,0,APPROVE
PROPERTY,500865.61,0.613,0.65,152,0,0,3,REJECT
PROPERTY,60883.92,0.857,0.985,3,1,0,1,APPROVE
AUTO,28317.02,0.891,0.993,1,1,0,1,APPROVE
LIFE_DEATH,76476.45,0.85,0.971,8,1,1,0,APPROVE
LIFE_DEATH,1294003.05,0.2,0.451,33,0,0,5,REJECT
AUTO,28062.43,0.947,0.8,1,0,0,1,APPROVE
AUTO,15402.04,0.75,0.834,5,1,0,0,APPROVE
AUTO,20458.76,0.889,0.915,4,1,0,0,APPROVE
PROPERTY,85651.61,0.75,0.925,7,1,0,0,APPROVE
PROPERTY,885652.82,0.2,0.438,170,0,0,3,REJECT
AUTO,6762.42,0.781,0.959,1,1,0,1,APPROVE
AUTO,30149.41,0.75,0.843,1,1,0,0,APPROVE
LIFE_DEATH,1270684.18,0.51,0.21,104,0,0,4,REJECT
AUTO,206495.73,0.364,0.272,85,0,0,3,REJECT
PROPERTY,62162.92,0.99,0.8,8,1,0,0,APPROVE
AUTO,23333.67,0.898,0.904,4,0,0,2,APPROVE
AUTO,79712.43,0.65,0.784,120,0,0,2,ESCALATE
AUTO,9233.61,0.865,0.902,1,1,0,0,APPROVE
AUTO,20068.37,0.75,0.8,33,1,0,0,APPROVE
AUTO,228279.75,0.2,0.193,31,0,0,3,REJECT
PROPERTY,55457.08,0.831,0.979,11,1,0,0,APPROVE
PROPERTY,195505.67,0.444,0.15,143,0,0,4,REJECT
PROPERTY,468502.15,0.356,0.15,73,0,0,6,REJECT
AUTO,33919.44,0.816,0.863,2,1,0,0,APPROVE
AUTO,33485.93,0.884,0.865,9,1,0,0,APPROVE
LIFE_DEATH,61660.36,0.75,0.982,6,0,1,1,APPROVE
LIFE_DEATH,655299.67,0.842,0.695,11,1,1,3,ESCALATE
PROPERTY,25612.03,0.937,0.935,8,1,0,0,APPROVE
AUTO,18724.56,0.75,0.948,21,0,0,0,APPROVE
PROPERTY,430029.09,0.747,0.69,33,0,0,1,ESCALATE
LIFE_DEATH,85791.18,0.843,0.884,5,1,1,2,APPROVE
AUTO,10320.07,0.767,0.902,3,1,0,0,APPROVE
AUTO,251278.98,0.492,0.435,81,0,0,2,REJECT
PROPERTY,96282.47,0.75,0.971,2,1,0,1,APPROVE
PROPERTY,41259.03,0.812,0.8,1,0,0,0,APPROVE
AUTO,411495.65,0.281,0.363,117,0,0,3,REJECT
AUTO,3469.64,0.883,0.971,12,0,0,0,APPROVE
PROPERTY,30033.06,0.929,0.968,34,1,0,0,APPROVE
LIFE_DEATH,1071303.1,0.553,0.369,70,0,0,3,REJECT
AUTO,433783.44,0.292,0.162,219,0,0,3,REJECT
AUTO,13100.75,0.863,0.928,8,0,0,1,APPROVE
AUTO,25684.25,0.924,0.8,6,0,0,0,APPROVE
AUTO,292720.7,0.68,0.491,44,0,0,3,REJECT
PROPERTY,37596.25,0.99,0.8,1,1,0,1,APPROVE
LIFE_DEATH,274568.17,0.865,0.991,2,1,1,0,APPROVE
PROPERTY,630214.38,0.2,0.301,111,0,0,2,REJECT
AUTO,278955.75,0.621,0.458,48,0,0,5,REJECT
AUTO,53345.54,0.824,0.955,3,1,0,0,APPROVE
PROPERTY,291576.58,0.739,0.58,37,0,0,2,ESCALATE
PROPERTY,174388.05,0.2,0.219,141,0,0,2,REJECT
LIFE_DEATH,620053.5,0.263,0.15,38,0,0,4,REJECT
LIFE_DEATH,541919.07,0.677,0.692,32,1,1,2,ESCALATE
AUTO,18140.92,0.813,0.975,6,0,0,0,APPROVE
AUTO,110580.89,0.683,0.736,12,0,0,2,ESCALATE
LIFE_DEATH,1197480.49,0.281,0.424,220,0,0,2,REJECT
PROPERTY,1196756.43,0.2,0.15,171,0,0,6,REJECT
LIFE_DEATH,979179.19,0.25,0.442,33,0,0,4,REJECT
AUTO,85251.32,0.229,0.382,64,0,0,2,REJECT
AUTO,50736.08,0.772,0.8,8,1,0,1,APPROVE
PROPERTY,40091.39,0.981,0.933,2,0,0,0,APPROVE
AUTO,43033.11,0.944,0.809,2,1,0,2,APPROVE
AUTO,22300.0,0.883,0.942,15,1,0,0,APPROVE
PROPERTY,171186.12,0.682,0.735,43,0,0,1,ESCALATE
AUTO,32059.78,0.979,0.9,1,1,0,0,APPROVE
PROPERTY,29976.64,0.986,0.976,24,0,0,1,APPROVE
PROPERTY,36819.93,0.864,0.972,4,1,0,0,APPROVE
AUTO,292668.29,0.2,0.46,113,0,0,5,REJECT
LIFE_DEATH,537394.3,0.503,0.15,136,0,0,4,REJECT
PROPERTY,959511.18,0.329,0.392,131,0,0,3,REJECT
LIFE_DEATH,138057.74,0.75,0.941,44,1,1,0,APPROVE
AUTO,336486.02,0.2,0.184,38,0,0,4,REJECT
AUTO,336324.7,0.503,0.187,64,0,0,2,REJECT
AUTO,21088.57,0.75,0.82,30,0,0,1,APPROVE
AUTO,30711.05,0.961,0.943,5,1,0,2,APPROVE
AUTO,21820.51,0.854,0.8,1,0,0,2,APPROVE
LIFE_DEATH,273309.04,0.75,0.921,6,0,1,0,APPROVE
AUTO,21067.86,0.946,0.912,2,0,0,0,APPROVE
PROPERTY,33842.19,0.943,0.8,16,1,0,0,APPROVE
LIFE_DEATH,1268742.04,0.495,0.268,108,0,0,2,REJECT
AUTO,14656.98,0.974,0.874,1,1,0,0,APPROVE
AUTO,111744.51,0.653,0.658,18,1,0,2,ESCALATE
PROPERTY,281738.66,0.423,0.15,54,0,0,5,REJECT
LIFE_DEATH,669824.01,0.639,0.82,10,1,1,3,ESCALATE
PROPERTY,19666.97,0.831,0.8,31,0,0,0,APPROVE
PROPERTY,25864.01,0.906,0.91,16,0,0,0,APPROVE
AUTO,21480.57,0.75,0.903,20,1,0,0,APPROVE
PROPERTY,126102.35,0.699,0.819,28,1,0,1,ESCALATE
LIFE_DEATH,792267.86,0.694,0.751,56,0,1,1,ESCALATE
PROPERTY,1053624.99,0.252,0.232,106,0,0,4,REJECT
PROPERTY,31758.08,0.934,0.866,3,1,0,0,APPROVE
AUTO,17362.21,0.92,0.945,9,1,0,1,APPROVE
LIFE_DEATH,421375.94,0.513,0.15,44,0,0,4,REJECT
AUTO,15935.27,0.879,0.979,1,0,0,1,APPROVE
LIFE_DEATH,215457.32,0.919,0.931,11,0,1,2,APPROVE
AUTO,39665.93,0.826,0.953,1,1,0,1,APPROVE
AUTO,34936.73,0.75,0.8,14,1,0,0,APPROVE
LIFE_DEATH,87683.1,0.876,0.961,10,1,1,0,APPROVE
LIFE_DEATH,133444.15,0.816,0.998,7,0,1,0,APPROVE
PROPERTY,41494.64,0.89,0.85,1,1,0,0,APPROVE
LIFE_DEATH,854145.2,0.2,0.362,71,0,0,3,REJECT
PROPERTY,80912.55,0.947,0.943,5,1,0,1,APPROVE
PROPERTY,44898.17,0.893,0.971,2,1,0,0,APPROVE
AUTO,45325.74,0.75,0.983,2,1,0,2,APPROVE
AUTO,8173.05,0.926,0.982,40,1,0,0,APPROVE
AUTO,46197.88,0.797,0.969,7,1,0,0,APPROVE
LIFE_DEATH,555810.05,0.76,0.69,30,1,1,1,ESCALATE
AUTO,33135.03,0.8,0.883,15,1,0,0,APPROVE
PROPERTY,554650.84,0.2,0.153,103,0,0,4,REJECT
AUTO,25259.25,0.99,0.8,19,1,0,1,APPROVE
AUTO,184825.08,0.435,0.605,101,0,0,6,REJECT
AUTO,425498.09,0.592,0.15,125,0,0,5,REJECT
AUTO,15094.56,0.842,0.989,9,0,0,0,APPROVE
LIFE_DEATH,177831.14,0.803,0.978,1,1,1,1,APPROVE
LIFE_DEATH,378474.64,0.653,0.673,39,0,1,2,ESCALATE
AUTO,15939.25,0.82,0.937,2,0,0,1,APPROVE
PROPERTY,575619.64,0.226,0.431,58,0,0,2,REJECT
AUTO,433462.82,0.337,0.15,44,0,0,3,REJECT
AUTO,12426.65,0.972,0.855,11,0,0,0,APPROVE
LIFE_DEATH,52684.75,0.75,0.875,4,0,1,0,APPROVE
PROPERTY,197959.53,0.68,0.473,32,0,0,2,REJECT
AUTO,225430.31,0.2,0.15,265,0,0,3,REJECT
AUTO,16654.61,0.789,0.921,1,1,0,0,APPROVE
AUTO,26387.39,0.75,0.903,2,1,0,0,APPROVE
LIFE_DEATH,449756.59,0.738,0.731,63,0,1,2,ESCALATE
LIFE_DEATH,111274.23,0.75,0.8,12,1,1,1,APPROVE
PROPERTY,42089.77,0.75,0.809,5,1,0,1,APPROVE
AUTO,185616.25,0.214,0.15,34,0,0,3,REJECT
AUTO,234600.12,0.294,0.494,37,0,0,3,REJECT
AUTO,448230.08,0.372,0.15,117,0,0,3,REJECT
PROPERTY,417249.61,0.701,0.692,44,0,0,1,ESCALATE
LIFE_DEATH,404927.42,0.619,0.192,61,0,0,3,REJECT
LIFE_DEATH,85493.0,0.75,0.8,38,0,1,0,APPROVE
LIFE_DEATH,124855.78,0.907,0.954,5,1,1,0,APPROVE
PROPERTY,39745.62,0.829,0.994,6,0,0,0,APPROVE
AUTO,23855.53,0.956,0.8,11,0,0,0,APPROVE
AUTO,228617.85,0.526,0.169,62,0,0,3,REJECT
AUTO,17309.44,0.876,0.926,3,0,0,0,APPROVE
AUTO,13037.36,0.985,0.951,5,0,0,0,APPROVE
PROPERTY,54171.73,0.818,0.953,8,1,0,0,APPROVE
AUTO,50568.67,0.797,0.808,11,1,0,0,APPROVE
AUTO,49558.89,0.953,0.98,1,1,0,0,APPROVE
AUTO,21175.42,0.961,0.985,22,1,0,0,APPROVE
LIFE_DEATH,1497142.98,0.568,0.512,50,0,1,3,REJECT
PROPERTY,34896.08,0.965,0.892,20,1,0,2,APPROVE
PROPERTY,350655.85,0.697,0.683,32,1,0,2,ESCALATE
AUTO,25603.29,0.946,0.881,1,0,0,0,APPROVE
AUTO,45181.07,0.935,0.879,52,1,0,0,APPROVE
LIFE_DEATH,668082.87,0.2,0.261,83,0,0,4,REJECT
LIFE_DEATH,91760.45,0.823,0.999,24,1,1,0,APPROVE
AUTO,125825.67,0.671,0.617,29,1,0,1,ESCALATE
AUTO,34733.09,0.797,0.955,27,1,0,0,APPROVE
AUTO,10912.25,0.962,0.999,8,1,0,0,APPROVE
PROPERTY,321623.66,0.353,0.164,54,0,0,4,REJECT
AUTO,133466.19,0.665,0.701,19,1,0,1,ESCALATE
AUTO,191515.37,0.47,0.15,53,0,0,4,REJECT
AUTO,10468.64,0.881,0.981,11,1,0,2,APPROVE
AUTO,14859.53,0.802,0.909,5,1,0,0,APPROVE
PROPERTY,174367.17,0.723,0.746,52,0,0,1,ESCALATE
LIFE_DEATH,1394102.97,0.2,0.157,96,0,1,2,REJECT
PROPERTY,1031363.67,0.22,0.403,53,0,0,3,REJECT
AUTO,224891.12,0.2,0.22,161,0,0,6,REJECT
AUTO,195362.36,0.351,0.65,131,0,0,5,REJECT
PROPERTY,66068.72,0.93,0.971,1,1,0,1,APPROVE
PROPERTY,66756.07,0.915,0.839,5,1,0,0,APPROVE
AUTO,30382.74,0.75,0.953,6,1,0,0,APPROVE
PROPERTY,508721.89,0.683,0.735,13,1,0,3,ESCALATE
AUTO,23850.72,0.835,0.946,56,1,0,1,APPROVE
PROPERTY,34970.33,0.929,0.831,1,1,0,0,APPROVE
PROPERTY,1001673.77,0.68,0.421,234,0,0,5,REJECT
AUTO,54229.2,0.695,0.73,13,1,0,1,ESCALATE
